shop_name,city,state,latitude,longitude,address,phone_number,rating,rating_count
Ayurved Ayushadhalaya,Patna,Bihar,25.6109899,85.1508208,"Kadamkuan Rd, beside ICICI Bank, Dujra Diara, Patna, Bihar 800003",,5.0,18
Ayurvedic Medicine Shops,Patna,Bihar,25.6091073,85.1803832,"Street Number 15, Kumhrar, Patna, Bihar 800006",,3.8,6
Niramay Health Care - Ayurvedic Medicine,Patna,Bihar,25.6089067,85.1860957,"Sandalpur Rd, Khawaza Garib Nawaj Block, Patna, Bihar 800006",+91 79037 33208,4.9,16
Lohia Ayurvedic Pharmacy,Guwahati,Assam,26.1787967,91.7426315,"68, SRCB Rd, Lakhtokia, Fancy Bazaar, Guwahati, Assam 781001",+91 88226 75749,4.9,351
Dekas Ayurvedic,Guwahati,Assam,26.147073,91.7890228,"Shop No.8, Swaraj Nagar, Ganeshguri, Guwahati, Assam 781036",+91 87209 33826,4.8,33
Vasudeo Ayurvedic Bhandar,Guwahati,Assam,26.150409,91.7842262,"G.S. Road, near Hotel Ambarish, Ganeshguri, Guwahati, Assam 781006",+91 86385 67937,4.6,104
Assam Ayurvedic Bhandar,Guwahati,Assam,26.1786734,91.742778,"Assam Trunk Rd, opp. Vishwaratna Hotel, Tokobari Satra, Guwahati, Assam 781001",+91 98640 61800,4.4,84
Assam Ayurvedic Products,Guwahati,Assam,26.1838709,91.7880655,"5QMQ+G6W, Maniram Dewan Rd, Bamunimaidan, Guwahati, Assam 781021",+91 88768 22848,4.5,17
Ayushman Herbo-Care,Guwahati,Assam,26.1750052,91.7615846,"Ashram Rd, South Sarania, Ulubari, Guwahati, Assam 781007",+91 97747 60961,4.8,9
Balram Ayurvedic,Nagpur,Maharashtra,21.1454102,79.0827505,"Temple Bazar Rd, beside HDFC, Sitabuldi, Nagpur, Maharashtra 440012",+91 94231 04351,4.9,1292
ShivShankar Ayurvedic Santulan Ayurveda,Nagpur,Maharashtra,21.1454485,79.0824192,"Yog Complex, Temple Bazar Rd, Sitabuldi, Nagpur, Maharashtra 440012",+91 86052 45080,4.6,211
Nirmay Ayurveda,Nagpur,Maharashtra,21.115806,79.0990625,"Plot No 122, Bajrang Nagar Rd, Manewada Rd, Rameshwari, Nagpur, Maharashtra 440027",+91 92205 07522,4.9,426
Charak Ayurvedic Shop & Aushadhalay,Nagpur,Maharashtra,21.1274351,79.1130517,"Kamla Nehru Mahavidyalaya, Sakkardara, Raghuji Nagar, Nagpur, Maharashtra 440024",+91 91682 24950,5.0,66
National Unani & Ayurvedic Stores,Nagpur,Maharashtra,21.1580019,79.0953166,"Gittikhadan, Bakramandi, Mominpura, Nagpur, Maharashtra 440018",+91 70203 66572,4.9,16
Siddh Herbal Shoppee,Indore,Madhya Pradesh,22.7524512,75.8905468,"28 GF Scheme No 54, Vijay Nagar, Indore, Madhya Pradesh 452010",+91 731 420 6300,4.9,60
Sparsh Ayurveda,Indore,Madhya Pradesh,22.7027123,75.8716854,"8, Capital Tower, Sapna Sangeeta Rd, Snehnagar, Indore, Madhya Pradesh 452001",+91 74006 06060,5.0,1132
Aadish Sales & Marketing Ayurvedic Store,Indore,Madhya Pradesh,22.7163805,75.8567864,"95, Jawahar Marg, near Shani Temple, Rajwada, Indore, Madhya Pradesh 452007",+91 98932 29157,4.2,11
Somveda Herbals,Indore,Madhya Pradesh,22.712664,75.8756938,"327, Dawa Bazaar, M.Y. Hospital, Jaora Compound, Indore, Madhya Pradesh 452001",+91 91114 09114,5.0,6
The Ayur Store,Indore,Madhya Pradesh,22.7225945,75.8236437,"185, Airport Rd, Hujurganj, Kalani Nagar, Indore, Madhya Pradesh 452005",+91 81090 82216,4.8,5
Baba Ayurvedic,Surat,Gujarat,21.1750418,72.8072804,"Shop No. U-1,2, Shakuntal Apartment, Ghod Dod Rd, Athwa, Surat, Gujarat 395001",+91 261 266 6530,4.8,176
Aarvi Ayurvedic & Enterprise,Surat,Gujarat,21.229435,72.8193468,"96, Madhav Darshan Society, Dabholi Char Rasta, Katargam, Surat, Gujarat 395004",+91 88492 37469,4.6,9
Paras Ayurvedic Agency,Surat,Gujarat,21.2088056,72.794167,"A-7, Shanti Sadan Apartment, Anand Mahal Rd, Adajan, Surat, Gujarat 395009",+91 97129 15885,4.8,36
Shree Navnit Aushadh Kendra,Surat,Gujarat,21.198134,72.8281984,"Limdachowk, opp. Kabutar Khana, Bhagal, Surat, Gujarat 395003",+91 98259 54751,4.4,18
Shree Dhanvantari Ayurvedic Store,Surat,Gujarat,21.1609735,72.8002331,"B-46, Chandramaani Society, Panaas, Athwa, Surat, Gujarat 395017",+91 98256 47796,4.9,81
RNS Ayurveda,Kanpur,Uttar Pradesh,26.462071,80.3534925,"59/1, Birhana Rd, near PNG Jewellers, Kahoo Kothi, Kanpur, Uttar Pradesh 208001",+91 97953 02666,4.9,67
Sharma Medical Store,Kanpur,Uttar Pradesh,26.4799186,80.3175741,"113/131 B, Motilal Swaroop Nagar, Khalasi Line, Kanpur, Uttar Pradesh 208002",+91 97959 39172,4.9,122
Annapurna Ayurveda,Kanpur,Uttar Pradesh,26.478446,80.2949475,"117/114, N Block, Ambedkar Nagar, Kakadeo, Kanpur, Uttar Pradesh 208025",+91 98891 58769,5.0,662
Jalees And Company Unani Hamdard and Ayurvedic Dawakhana,Kanpur,Uttar Pradesh,26.4675374,80.3467472,"45/40, Nai Sarak Rd, Mulganj, Kanpur, Uttar Pradesh 208001",+91 78381 67318,4.7,15
Shiva Ayurvedic Store,Kanpur,Uttar Pradesh,26.43308,80.306415,"House No-1, near Allahabad Bank, Sector-4, Barra 2, Kanpur, Uttar Pradesh 208027",+91 63893 55310,5.0,10
Cauvery Ayurveda Gramam,Coimbatore,Tamil Nadu,11.0000567,76.9966435,"50 Feet Rd, behind GEM Hospital, Ramanathapuram, Coimbatore, Tamil Nadu 641045",+91 63823 17958,4.9,1743
Ganesh Medicals,Coimbatore,Tamil Nadu,10.992357,76.9599533,"Oppanakara St., Ukkadam, Coimbatore, Tamil Nadu 641001",+91 98422 14121,4.9,338
Blue Moon Siddha Ayurveda Clinic,Coimbatore,Tamil Nadu,11.0181689,76.9675137,"191, 5th St, Cross Cut Road, Gandhipuram, Coimbatore, Tamil Nadu 641012",+91 422 451 2329,4.9,20
AYUSH Ayurvedic Siddha Homeo Pharmacy,Coimbatore,Tamil Nadu,10.9996621,76.9527992,"393, Sukrawarpet St, Town Hall, Coimbatore, Tamil Nadu 641001",+91 93857 67240,4.9,47
Guruji Herbals,Coimbatore,Tamil Nadu,11.0066794,76.9552456,"138-955, Ramachandra Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",+91 94424 17044,4.9,49
Ayursiddha Homeo Pharma,Coimbatore,Tamil Nadu,10.9938794,76.964488,"A Nanjappa Complex, 136, Big Bazaar St, Ukkadam, Coimbatore, Tamil Nadu 641001",,4.8,99
